userid,total_login_count,days_since_last_login,email_freq,platform
32,2,65.0,BI_MONTHLY,Bayer CH
33,3,66.0,BI_MONTHLY,Bayer CH
35,1,3.0,BI_MONTHLY,Bayer CH
36,5,42.0,BI_MONTHLY,Bayer CH
38,1,60.0,BI_MONTHLY,Bayer CH
40,2,82.0,BI_MONTHLY,Bayer CH
42,3,77.0,BI_MONTHLY,Bayer CH
43,2,52.0,BI_MONTHLY,Bayer CH
44,2,53.0,BI_MONTHLY,Bayer CH
46,5,75.0,BI_MONTHLY,Bayer CH
50,8,54.0,BI_MONTHLY,Bayer CH
52,8,54.0,BI_MONTHLY,Bayer CH
53,8,81.0,BI_MONTHLY,Bayer CH
54,21,7.0,BI_MONTHLY,Bayer CH
56,7,4.0,BI_MONTHLY,Bayer CH
60,8,69.0,BI_MONTHLY,Bayer CH
62,1,54.0,BI_MONTHLY,Bayer CH
65,3,81.0,BI_MONTHLY,Bayer CH
66,5,40.0,BI_MONTHLY,Bayer CH
68,5,66.0,BI_MONTHLY,Bayer CH
71,13,54.0,BI_MONTHLY,Bayer CH
73,4,84.0,BI_MONTHLY,Bayer CH
76,2,66.0,BI_MONTHLY,Bayer CH
77,4,66.0,BI_MONTHLY,Bayer CH
78,3,13.0,BI_MONTHLY,Bayer CH
80,20,47.0,BI_MONTHLY,Bayer CH
91,8,66.0,BI_MONTHLY,Bayer CH
93,2,26.0,BI_MONTHLY,Bayer CH
94,4,54.0,BI_MONTHLY,Bayer CH
96,4,54.0,BI_MONTHLY,Bayer CH
98,6,63.0,BI_MONTHLY,Bayer CH
100,2,27.0,BI_MONTHLY,Bayer CH
104,4,63.0,BI_MONTHLY,Bayer CH
111,2,66.0,BI_MONTHLY,Bayer CH
121,4,66.0,BI_MONTHLY,Bayer CH
124,2,66.0,BI_MONTHLY,Bayer CH
125,7,45.0,BI_MONTHLY,Bayer CH
128,8,27.0,BI_MONTHLY,Bayer CH
133,2,54.0,BI_MONTHLY,Bayer CH
134,1,67.0,BI_MONTHLY,Bayer CH
140,7,66.0,BI_MONTHLY,Bayer CH
143,2,66.0,NONE,Bayer CH
148,2,66.0,NONE,Bayer CH
161,9,82.0,NONE,Bayer CH
162,2,87.0,NONE,Bayer CH
165,7,66.0,NONE,Bayer CH
169,28,21.0,WEEKLY,Bayer CH
170,3,87.0,NONE,Bayer CH
172,4,66.0,NONE,Bayer CH
174,3,66.0,NONE,Bayer CH
175,3,67.0,NONE,Bayer CH
182,3,63.0,NONE,Bayer CH
186,12,54.0,NONE,Bayer CH
190,2,21.0,WEEKLY,Bayer CH
191,2,66.0,NONE,Bayer CH
321,1,62.0,NONE,Bayer CH
332,1,54.0,NONE,Bayer CH
339,1,81.0,NONE,Bayer CH
372,1,66.0,NONE,Bayer CH
406,2,63.0,NONE,Bayer CH
412,1,5.0,NONE,Bayer CH
443,2,83.0,NONE,Bayer CH
444,5,49.0,NONE,Bayer CH
462,1,14.0,NONE,Bayer CH
463,5,68.0,NONE,Bayer CH
472,1,66.0,NONE,Bayer CH
534,6,66.0,NONE,Bayer CH
535,2,38.0,NONE,Bayer CH
539,5,81.0,NONE,Bayer CH
541,1,84.0,NONE,Bayer CH
542,7,10.0,NONE,Bayer CH
543,2,66.0,NONE,Bayer CH
544,3,32.0,NONE,Bayer CH
545,1,83.0,NONE,Bayer CH
546,1,82.0,NONE,Bayer CH
547,1,82.0,NONE,Bayer CH
548,1,82.0,NONE,Bayer CH
549,1,82.0,NONE,Bayer CH
550,2,82.0,NONE,Bayer CH
551,3,59.0,NONE,Bayer CH
552,1,82.0,NONE,Bayer CH
553,1,82.0,NONE,Bayer CH
554,2,63.0,NONE,Bayer CH
555,1,81.0,NONE,Bayer CH
556,1,81.0,NONE,Bayer CH
557,1,80.0,NONE,Bayer CH
558,1,78.0,NONE,Bayer CH
559,2,77.0,NONE,Bayer CH
560,3,39.0,NONE,Bayer CH
561,2,70.0,NONE,Bayer CH
562,1,67.0,NONE,Bayer CH
563,2,53.0,NONE,Bayer CH
564,1,67.0,NONE,Bayer CH
565,2,53.0,NONE,Bayer CH
566,1,66.0,NONE,Bayer CH
567,1,66.0,NONE,Bayer CH
568,1,66.0,NONE,Bayer CH
569,1,66.0,NONE,Bayer CH
570,2,53.0,NONE,Bayer CH
571,2,53.0,NONE,Bayer CH
572,1,54.0,NONE,Bayer CH
573,1,54.0,NONE,Bayer CH
574,2,54.0,NONE,Bayer CH
575,5,28.0,NONE,Bayer CH
576,1,49.0,NONE,Bayer CH
578,1,47.0,NONE,Bayer CH
579,1,42.0,NONE,Bayer CH
580,1,42.0,NONE,Bayer CH
581,1,42.0,NONE,Bayer CH
582,1,28.0,NONE,Bayer CH
583,1,28.0,NONE,Bayer CH
3,28,60.0,BI_MONTHLY,Bayer Fine
8,75,28.0,WEEKLY,Bayer Fine
61,3,62.0,WEEKLY,Bayer Fine
64,6,75.0,WEEKLY,Bayer Fine
67,2,66.0,WEEKLY,Bayer Fine
68,2,60.0,WEEKLY,Bayer Fine
70,6,75.0,WEEKLY,Bayer Fine
84,3,69.0,WEEKLY,Bayer Fine
89,3,88.0,WEEKLY,Bayer Fine
91,4,41.0,WEEKLY,Bayer Fine
97,8,69.0,WEEKLY,Bayer Fine
98,73,56.0,WEEKLY,Bayer Fine
99,163,56.0,WEEKLY,Bayer Fine
101,10,39.0,WEEKLY,Bayer Fine
102,9,39.0,WEEKLY,Bayer Fine
103,75,14.0,DAILY,Bayer Fine
110,1,88.0,WEEKLY,Bayer Fine
115,4,75.0,WEEKLY,Bayer Fine
118,5,74.0,WEEKLY,Bayer Fine
120,18,69.0,WEEKLY,Bayer Fine
121,15,62.0,WEEKLY,Bayer Fine
122,4,48.0,WEEKLY,Bayer Fine
124,4,55.0,NONE,Bayer Fine
125,4,39.0,NONE,Bayer Fine
127,10,18.0,WEEKLY,Bayer Fine
129,1,88.0,WEEKLY,Bayer Fine
130,24,6.0,WEEKLY,Bayer Fine
131,29,67.0,WEEKLY,Bayer Fine
134,20,46.0,WEEKLY,Bayer Fine
136,49,19.0,WEEKLY,Bayer Fine
142,5,88.0,WEEKLY,Bayer Fine
145,7,88.0,WEEKLY,Bayer Fine
146,2,88.0,WEEKLY,Bayer Fine
148,12,88.0,WEEKLY,Bayer Fine
168,10,88.0,WEEKLY,Bayer Fine
169,1,75.0,WEEKLY,Bayer Fine
170,1,75.0,WEEKLY,Bayer Fine
172,1,75.0,WEEKLY,Bayer Fine
173,9,35.0,WEEKLY,Bayer Fine
176,5,56.0,WEEKLY,Bayer Fine
178,3,81.0,WEEKLY,Bayer Fine
180,1,75.0,WEEKLY,Bayer Fine
182,11,38.0,WEEKLY,Bayer Fine
183,4,75.0,WEEKLY,Bayer Fine
186,3,75.0,WEEKLY,Bayer Fine
190,5,69.0,WEEKLY,Bayer Fine
193,4,46.0,WEEKLY,Bayer Fine
196,1,88.0,WEEKLY,Bayer Fine
199,1,88.0,WEEKLY,Bayer Fine
201,3,87.0,WEEKLY,Bayer Fine
203,1,75.0,WEEKLY,Bayer Fine
205,1,75.0,WEEKLY,Bayer Fine
206,1,88.0,WEEKLY,Bayer Fine
208,6,88.0,WEEKLY,Bayer Fine
209,7,75.0,WEEKLY,Bayer Fine
214,18,69.0,NONE,Bayer Fine
218,3,69.0,WEEKLY,Bayer Fine
286,13,25.0,WEEKLY,Bayer Fine
288,5,69.0,WEEKLY,Bayer Fine
289,26,20.0,WEEKLY,Bayer Fine
292,15,84.0,WEEKLY,Bayer Fine
293,21,35.0,DAILY,Bayer Fine
294,17,68.0,WEEKLY,Bayer Fine
298,15,69.0,WEEKLY,Bayer Fine
301,71,66.0,WEEKLY,Bayer Fine
302,6,56.0,WEEKLY,Bayer Fine
307,5,82.0,WEEKLY,Bayer Fine
313,13,56.0,WEEKLY,Bayer Fine
316,7,70.0,WEEKLY,Bayer Fine
319,27,38.0,WEEKLY,Bayer Fine
320,9,75.0,WEEKLY,Bayer Fine
324,10,25.0,BI_MONTHLY,Bayer Fine
325,16,39.0,WEEKLY,Bayer Fine
327,67,46.0,WEEKLY,Bayer Fine
330,12,56.0,WEEKLY,Bayer Fine
331,22,75.0,WEEKLY,Bayer Fine
332,10,88.0,WEEKLY,Bayer Fine
335,1,76.0,WEEKLY,Bayer Fine
336,6,69.0,WEEKLY,Bayer Fine
337,1,36.0,WEEKLY,Bayer Fine
338,2,35.0,WEEKLY,Bayer Fine
339,14,38.0,WEEKLY,Bayer Fine
347,21,67.0,NONE,Bayer Fine
374,43,69.0,DAILY,Bayer Fine
382,64,53.0,DAILY,Bayer Fine
386,24,69.0,WEEKLY,Bayer Fine
388,1,69.0,WEEKLY,Bayer Fine
391,31,68.0,WEEKLY,Bayer Fine
392,78,31.0,WEEKLY,Bayer Fine
394,6,5.0,WEEKLY,Bayer Fine
398,141,0.0,BI_MONTHLY,Bayer Fine
401,15,34.0,WEEKLY,Bayer Fine
402,12,60.0,WEEKLY,Bayer Fine
407,3,75.0,WEEKLY,Bayer Fine
412,5,61.0,WEEKLY,Bayer Fine
413,6,67.0,WEEKLY,Bayer Fine
418,9,53.0,WEEKLY,Bayer Fine
421,4,73.0,WEEKLY,Bayer Fine
424,6,80.0,MONTHLY,Bayer Fine
425,34,38.0,DAILY,Bayer Fine
430,4,60.0,WEEKLY,Bayer Fine
431,25,36.0,WEEKLY,Bayer Fine
432,16,38.0,WEEKLY,Bayer Fine
438,3,53.0,WEEKLY,Bayer Fine
440,20,45.0,WEEKLY,Bayer Fine
444,21,69.0,WEEKLY,Bayer Fine
445,5,12.0,WEEKLY,Bayer Fine
447,10,56.0,WEEKLY,Bayer Fine
449,6,48.0,WEEKLY,Bayer Fine
454,3,76.0,WEEKLY,Bayer Fine
457,3,53.0,WEEKLY,Bayer Fine
465,12,38.0,WEEKLY,Bayer Fine
466,7,38.0,WEEKLY,Bayer Fine
471,66,24.0,DAILY,Bayer Fine
474,25,39.0,DAILY,Bayer Fine
476,10,45.0,WEEKLY,Bayer Fine
477,6,38.0,WEEKLY,Bayer Fine
480,7,55.0,BI_MONTHLY,Bayer Fine
483,11,53.0,WEEKLY,Bayer Fine
485,11,75.0,WEEKLY,Bayer Fine
486,8,39.0,WEEKLY,Bayer Fine
488,8,14.0,WEEKLY,Bayer Fine
490,5,62.0,WEEKLY,Bayer Fine
492,4,74.0,WEEKLY,Bayer Fine
495,2,62.0,WEEKLY,Bayer Fine
500,6,70.0,WEEKLY,Bayer Fine
503,5,88.0,WEEKLY,Bayer Fine
507,2,74.0,WEEKLY,Bayer Fine
510,5,81.0,WEEKLY,Bayer Fine
514,8,18.0,WEEKLY,Bayer Fine
517,3,62.0,NONE,Bayer Fine
525,4,68.0,WEEKLY,Bayer Fine
530,10,75.0,WEEKLY,Bayer Fine
536,4,69.0,WEEKLY,Bayer Fine
540,4,62.0,WEEKLY,Bayer Fine
541,33,55.0,WEEKLY,Bayer Fine
542,6,69.0,WEEKLY,Bayer Fine
543,13,64.0,WEEKLY,Bayer Fine
544,2,14.0,WEEKLY,Bayer Fine
546,13,60.0,MONTHLY,Bayer Fine
549,2,62.0,WEEKLY,Bayer Fine
550,7,62.0,WEEKLY,Bayer Fine
552,17,38.0,WEEKLY,Bayer Fine
554,9,60.0,WEEKLY,Bayer Fine
556,4,39.0,NONE,Bayer Fine
557,4,31.0,WEEKLY,Bayer Fine
558,13,53.0,WEEKLY,Bayer Fine
559,7,67.0,WEEKLY,Bayer Fine
560,2,74.0,WEEKLY,Bayer Fine
570,2,39.0,WEEKLY,Bayer Fine
571,4,75.0,WEEKLY,Bayer Fine
575,3,61.0,WEEKLY,Bayer Fine
576,15,55.0,WEEKLY,Bayer Fine
577,15,20.0,WEEKLY,Bayer Fine
578,6,69.0,WEEKLY,Bayer Fine
582,3,35.0,WEEKLY,Bayer Fine
584,3,75.0,WEEKLY,Bayer Fine
586,4,62.0,WEEKLY,Bayer Fine
593,15,23.0,WEEKLY,Bayer Fine
594,4,53.0,WEEKLY,Bayer Fine
595,5,69.0,WEEKLY,Bayer Fine
599,3,81.0,WEEKLY,Bayer Fine
600,2,69.0,WEEKLY,Bayer Fine
601,11,33.0,WEEKLY,Bayer Fine
603,8,33.0,WEEKLY,Bayer Fine
604,3,75.0,WEEKLY,Bayer Fine
605,4,49.0,WEEKLY,Bayer Fine
608,8,39.0,WEEKLY,Bayer Fine
609,3,75.0,WEEKLY,Bayer Fine
611,10,46.0,WEEKLY,Bayer Fine
612,5,3.0,WEEKLY,Bayer Fine
614,3,38.0,WEEKLY,Bayer Fine
615,2,38.0,WEEKLY,Bayer Fine
618,4,60.0,NONE,Bayer Fine
626,5,39.0,WEEKLY,Bayer Fine
630,2,68.0,WEEKLY,Bayer Fine
633,2,75.0,WEEKLY,Bayer Fine
637,2,68.0,WEEKLY,Bayer Fine
641,1,74.0,WEEKLY,Bayer Fine
645,5,62.0,WEEKLY,Bayer Fine
648,2,62.0,WEEKLY,Bayer Fine
653,3,39.0,BI_MONTHLY,Bayer Fine
654,2,74.0,WEEKLY,Bayer Fine
655,1,69.0,WEEKLY,Bayer Fine
656,1,75.0,WEEKLY,Bayer Fine
657,1,75.0,WEEKLY,Bayer Fine
664,1,21.0,WEEKLY,Bayer Fine
668,3,32.0,WEEKLY,Bayer Fine
673,5,39.0,WEEKLY,Bayer Fine
676,1,75.0,WEEKLY,Bayer Fine
685,5,59.0,WEEKLY,Bayer Fine
694,5,46.0,WEEKLY,Bayer Fine
705,1,62.0,WEEKLY,Bayer Fine
710,1,69.0,WEEKLY,Bayer Fine
721,5,46.0,WEEKLY,Bayer Fine
723,1,69.0,WEEKLY,Bayer Fine
724,1,74.0,WEEKLY,Bayer Fine
730,1,62.0,WEEKLY,Bayer Fine
737,4,40.0,WEEKLY,Bayer Fine
738,1,75.0,WEEKLY,Bayer Fine
741,1,68.0,WEEKLY,Bayer Fine
755,1,69.0,WEEKLY,Bayer Fine
756,2,75.0,WEEKLY,Bayer Fine
760,1,69.0,WEEKLY,Bayer Fine
766,2,89.0,WEEKLY,Bayer Fine
773,2,75.0,WEEKLY,Bayer Fine
774,1,36.0,WEEKLY,Bayer Fine
775,3,47.0,WEEKLY,Bayer Fine
776,1,40.0,WEEKLY,Bayer Fine
784,2,14.0,WEEKLY,Bayer Fine
796,1,75.0,WEEKLY,Bayer Fine
797,2,61.0,WEEKLY,Bayer Fine
807,3,69.0,WEEKLY,Bayer Fine
810,1,39.0,WEEKLY,Bayer Fine
811,1,75.0,WEEKLY,Bayer Fine
812,1,61.0,WEEKLY,Bayer Fine
813,1,75.0,WEEKLY,Bayer Fine
818,3,53.0,WEEKLY,Bayer Fine
822,1,69.0,WEEKLY,Bayer Fine
823,1,12.0,WEEKLY,Bayer Fine
829,1,39.0,WEEKLY,Bayer Fine
842,10,36.0,WEEKLY,Bayer Fine
844,5,10.0,WEEKLY,Bayer Fine
846,1,52.0,WEEKLY,Bayer Fine
860,1,75.0,WEEKLY,Bayer Fine
862,3,74.0,WEEKLY,Bayer Fine
865,2,75.0,WEEKLY,Bayer Fine
870,2,38.0,WEEKLY,Bayer Fine
892,1,56.0,WEEKLY,Bayer Fine
893,2,60.0,WEEKLY,Bayer Fine
894,2,61.0,WEEKLY,Bayer Fine
904,2,73.0,WEEKLY,Bayer Fine
906,1,74.0,WEEKLY,Bayer Fine
909,3,41.0,WEEKLY,Bayer Fine
919,3,75.0,WEEKLY,Bayer Fine
924,1,74.0,WEEKLY,Bayer Fine
935,1,75.0,WEEKLY,Bayer Fine
944,2,48.0,WEEKLY,Bayer Fine
945,1,69.0,WEEKLY,Bayer Fine
950,4,69.0,WEEKLY,Bayer Fine
951,1,75.0,WEEKLY,Bayer Fine
960,2,62.0,WEEKLY,Bayer Fine
964,3,74.0,WEEKLY,Bayer Fine
965,3,69.0,WEEKLY,Bayer Fine
966,3,46.0,WEEKLY,Bayer Fine
968,5,75.0,WEEKLY,Bayer Fine
969,4,53.0,WEEKLY,Bayer Fine
970,6,60.0,WEEKLY,Bayer Fine
973,3,38.0,WEEKLY,Bayer Fine
974,8,61.0,MONTHLY,Bayer Fine
975,3,69.0,WEEKLY,Bayer Fine
976,4,27.0,WEEKLY,Bayer Fine
977,4,31.0,WEEKLY,Bayer Fine
978,2,75.0,WEEKLY,Bayer Fine
979,4,62.0,WEEKLY,Bayer Fine
980,3,88.0,WEEKLY,Bayer Fine
982,9,46.0,WEEKLY,Bayer Fine
983,7,60.0,WEEKLY,Bayer Fine
984,5,69.0,WEEKLY,Bayer Fine
988,3,85.0,WEEKLY,Bayer Fine
991,5,69.0,WEEKLY,Bayer Fine
992,8,39.0,WEEKLY,Bayer Fine
994,3,74.0,WEEKLY,Bayer Fine
995,7,39.0,WEEKLY,Bayer Fine
999,4,32.0,WEEKLY,Bayer Fine
1002,4,73.0,WEEKLY,Bayer Fine
1003,6,63.0,WEEKLY,Bayer Fine
1008,3,88.0,WEEKLY,Bayer Fine
1009,6,61.0,WEEKLY,Bayer Fine
1010,2,75.0,WEEKLY,Bayer Fine
1011,6,62.0,WEEKLY,Bayer Fine
1013,4,38.0,WEEKLY,Bayer Fine
1017,2,69.0,WEEKLY,Bayer Fine
1019,2,75.0,WEEKLY,Bayer Fine
1027,6,75.0,WEEKLY,Bayer Fine
1029,2,53.0,WEEKLY,Bayer Fine
1030,2,69.0,WEEKLY,Bayer Fine
1034,2,60.0,WEEKLY,Bayer Fine
1035,6,61.0,WEEKLY,Bayer Fine
1037,3,26.0,WEEKLY,Bayer Fine
1038,2,62.0,WEEKLY,Bayer Fine
1039,2,74.0,WEEKLY,Bayer Fine
1040,6,39.0,WEEKLY,Bayer Fine
1050,6,35.0,WEEKLY,Bayer Fine
1051,3,4.0,WEEKLY,Bayer Fine
1054,2,69.0,WEEKLY,Bayer Fine
1056,4,60.0,NONE,Bayer Fine
1062,4,69.0,WEEKLY,Bayer Fine
1063,3,61.0,WEEKLY,Bayer Fine
1065,17,69.0,WEEKLY,Bayer Fine
1069,33,38.0,NONE,Bayer Fine
1071,11,28.0,NONE,Bayer Fine
1072,4,41.0,WEEKLY,Bayer Fine
1073,3,81.0,WEEKLY,Bayer Fine
1077,2,81.0,WEEKLY,Bayer Fine
1078,2,69.0,WEEKLY,Bayer Fine
1081,4,69.0,WEEKLY,Bayer Fine
1083,8,69.0,WEEKLY,Bayer Fine
1086,10,25.0,WEEKLY,Bayer Fine
1088,3,39.0,WEEKLY,Bayer Fine
1089,2,46.0,WEEKLY,Bayer Fine
1091,19,3.0,WEEKLY,Bayer Fine
1092,9,39.0,WEEKLY,Bayer Fine
1093,4,36.0,WEEKLY,Bayer Fine
1094,4,35.0,WEEKLY,Bayer Fine
1095,2,38.0,WEEKLY,Bayer Fine
1097,9,36.0,WEEKLY,Bayer Fine
1099,2,39.0,WEEKLY,Bayer Fine
1105,2,55.0,WEEKLY,Bayer Fine
1107,2,69.0,WEEKLY,Bayer Fine
1114,2,69.0,WEEKLY,Bayer Fine
1115,2,74.0,WEEKLY,Bayer Fine
1118,2,89.0,WEEKLY,Bayer Fine
1120,3,84.0,WEEKLY,Bayer Fine
1122,7,61.0,WEEKLY,Bayer Fine
1123,4,49.0,WEEKLY,Bayer Fine
1124,2,75.0,WEEKLY,Bayer Fine
1125,4,67.0,WEEKLY,Bayer Fine
1126,2,87.0,WEEKLY,Bayer Fine
1127,2,69.0,WEEKLY,Bayer Fine
1129,7,67.0,WEEKLY,Bayer Fine
1130,2,75.0,WEEKLY,Bayer Fine
1132,2,88.0,WEEKLY,Bayer Fine
1133,3,69.0,WEEKLY,Bayer Fine
1135,2,38.0,WEEKLY,Bayer Fine
1136,3,62.0,WEEKLY,Bayer Fine
1137,6,35.0,WEEKLY,Bayer Fine
1138,2,88.0,WEEKLY,Bayer Fine
1139,4,28.0,WEEKLY,Bayer Fine
1141,8,21.0,WEEKLY,Bayer Fine
1142,7,74.0,WEEKLY,Bayer Fine
1143,3,46.0,WEEKLY,Bayer Fine
1144,3,75.0,WEEKLY,Bayer Fine
1145,2,89.0,WEEKLY,Bayer Fine
1146,2,46.0,WEEKLY,Bayer Fine
1147,3,81.0,NONE,Bayer Fine
1148,2,76.0,WEEKLY,Bayer Fine
1149,4,70.0,WEEKLY,Bayer Fine
1150,5,39.0,WEEKLY,Bayer Fine
1151,4,75.0,WEEKLY,Bayer Fine
1152,2,81.0,WEEKLY,Bayer Fine
1153,2,47.0,WEEKLY,Bayer Fine
1155,1,79.0,WEEKLY,Bayer Fine
1156,1,77.0,WEEKLY,Bayer Fine
1157,2,62.0,WEEKLY,Bayer Fine
1158,3,75.0,WEEKLY,Bayer Fine
1159,3,39.0,WEEKLY,Bayer Fine
1160,1,75.0,WEEKLY,Bayer Fine
1161,1,75.0,WEEKLY,Bayer Fine
1162,2,38.0,WEEKLY,Bayer Fine
1163,2,74.0,WEEKLY,Bayer Fine
1164,10,39.0,WEEKLY,Bayer Fine
1165,2,75.0,WEEKLY,Bayer Fine
1166,1,75.0,WEEKLY,Bayer Fine
1167,2,75.0,WEEKLY,Bayer Fine
1168,1,75.0,WEEKLY,Bayer Fine
1169,1,75.0,WEEKLY,Bayer Fine
1170,1,75.0,WEEKLY,Bayer Fine
1171,1,75.0,WEEKLY,Bayer Fine
1172,1,75.0,WEEKLY,Bayer Fine
1173,1,75.0,WEEKLY,Bayer Fine
1174,1,75.0,WEEKLY,Bayer Fine
1175,1,75.0,WEEKLY,Bayer Fine
1176,1,75.0,WEEKLY,Bayer Fine
1177,1,75.0,WEEKLY,Bayer Fine
1178,2,75.0,WEEKLY,Bayer Fine
1179,3,59.0,WEEKLY,Bayer Fine
1180,2,67.0,NONE,Bayer Fine
1181,1,74.0,WEEKLY,Bayer Fine
1182,1,74.0,WEEKLY,Bayer Fine
1183,1,74.0,WEEKLY,Bayer Fine
1184,1,74.0,WEEKLY,Bayer Fine
1185,3,63.0,WEEKLY,Bayer Fine
1186,1,73.0,WEEKLY,Bayer Fine
1187,2,62.0,WEEKLY,Bayer Fine
1188,4,28.0,MONTHLY,Bayer Fine
1189,1,73.0,WEEKLY,Bayer Fine
1190,1,73.0,WEEKLY,Bayer Fine
1191,1,69.0,WEEKLY,Bayer Fine
1192,1,69.0,WEEKLY,Bayer Fine
1193,2,62.0,WEEKLY,Bayer Fine
1194,1,69.0,WEEKLY,Bayer Fine
1195,7,27.0,WEEKLY,Bayer Fine
1196,1,69.0,WEEKLY,Bayer Fine
1197,2,39.0,WEEKLY,Bayer Fine
1198,1,69.0,WEEKLY,Bayer Fine
1199,1,69.0,WEEKLY,Bayer Fine
1200,1,69.0,WEEKLY,Bayer Fine
1201,2,60.0,WEEKLY,Bayer Fine
1202,2,67.0,WEEKLY,Bayer Fine
1203,1,69.0,WEEKLY,Bayer Fine
1204,2,62.0,WEEKLY,Bayer Fine
1205,3,59.0,WEEKLY,Bayer Fine
1206,1,63.0,WEEKLY,Bayer Fine
1207,1,63.0,WEEKLY,Bayer Fine
1209,1,62.0,WEEKLY,Bayer Fine
1210,1,61.0,WEEKLY,Bayer Fine
1211,1,61.0,WEEKLY,Bayer Fine
1212,2,61.0,WEEKLY,Bayer Fine
1213,1,61.0,WEEKLY,Bayer Fine
1214,1,61.0,WEEKLY,Bayer Fine
1215,1,61.0,WEEKLY,Bayer Fine
1216,1,60.0,WEEKLY,Bayer Fine
1217,3,46.0,WEEKLY,Bayer Fine
1218,1,60.0,WEEKLY,Bayer Fine
1219,5,35.0,WEEKLY,Bayer Fine
1220,1,53.0,WEEKLY,Bayer Fine
1221,2,39.0,WEEKLY,Bayer Fine
1222,2,31.0,WEEKLY,Bayer Fine
1223,1,49.0,WEEKLY,Bayer Fine
1224,1,49.0,WEEKLY,Bayer Fine
1225,2,48.0,WEEKLY,Bayer Fine
1226,1,48.0,WEEKLY,Bayer Fine
1227,1,48.0,WEEKLY,Bayer Fine
1228,1,46.0,WEEKLY,Bayer Fine
1229,1,46.0,WEEKLY,Bayer Fine
1230,2,41.0,WEEKLY,Bayer Fine
1231,3,39.0,WEEKLY,Bayer Fine
1233,1,40.0,WEEKLY,Bayer Fine
1234,2,38.0,WEEKLY,Bayer Fine
1235,1,38.0,WEEKLY,Bayer Fine
1236,3,36.0,WEEKLY,Bayer Fine
1237,1,35.0,WEEKLY,Bayer Fine
1238,1,35.0,WEEKLY,Bayer Fine
1239,2,32.0,WEEKLY,Bayer Fine
1240,1,28.0,WEEKLY,Bayer Fine
1241,1,28.0,WEEKLY,Bayer Fine
1243,1,24.0,WEEKLY,Bayer Fine
1244,1,24.0,WEEKLY,Bayer Fine
1245,2,17.0,WEEKLY,Bayer Fine
1246,3,13.0,WEEKLY,Bayer Fine
1247,1,20.0,WEEKLY,Bayer Fine
1248,1,4.0,WEEKLY,Bayer Fine
